period,Regulatorycapitaltoriskweigh,Tier1capitaltoriskweighted,CapitalandReservesTotalDepos,Bankleverage,LoansDeposit,LiquidAssetstoShortTermLiab,Totalvalueofmortgageloans,SAIBOR3m,Inflation,Unemployment,GDPgrowth,oil_price_growth,Stock_Market_growth,GovernmentSpendingYoY,M2GrowthQoQ,ReserveAssets,TotalBankassets,NetNPLratio,ROA,ROE,Liquidassetstototalassets,InterestMargintogrossincome,Retailrealestateloansproport,RetailRealestateloanproporti,RealEstatePrices,RealEstatePricesgrowth,Liquidassetstoshorttermliab,BANKCLAIMSONPRIVATESECTORr,Non_Oil_Trade_Balance,time,l_Totalvalueofmortgageloans,rc_rwa,tier1_rwa,cap_res_dep,bnk_lvrg,loan_dep,liq_ast_liab,l_tot_mort_loans,tot_mort_loans,l_SAIBOR3m,dl_SAIBOR3m,unemp,l_ReserveAssets,dl_ReserveAssets,l_TotalBankassets,dl_TotalBankassets,d_NPL,d_ROA,d_ROE,liq_ast_ttl_ast,int_mar_gross,rtl_rlest1,rtl_rlest2,l_RealEstatePrices,dl_rlest_p,liq_ast_shr_lib,bnk_clm_prvt_sec,d_xoil_tb,policy,policy_mortgage_interaction
Q1 2014,17.8853601717718,16.2603746898007,17.33214811341323,7.526085445673899,73.92,33,77068,.953805303030303,2.058633326147863,5.801386,6.721632279963615,-.9434996099087933,10.99055719574487,20.44177078355083,4.601809392676941,2751254.691375704,2018969.131,.593558202947036,2.1761525746646,16.1039900990471,22.1506335628847,64.28495594012099,61.85183,6.549060719950258,98.15000000000001,,32.9931813790533,3.847535370243138,-172066.2014,2014q1,11.252443,.013062725,-.21868348,1.4175547,.16829416,-1.79,-.2,11.252443,.027101517,-.047295712,.035370857,.2331779,14.827568,.010886192,14.518098,.015651703,-.10985832,.14386855,1.3774068,.58586353,-2.1677084,.74054003,.046203457,4.5864968,,-.19462711,2.2471538,-25880.256,0,0
Q2 2014,17.8374767647835,16.0212682741444,16.81786281985047,7.482815225192274,75.38,32,84673,.951747835497836,2.596423184658492,6.0345639,4.086601961390585,1.348259508292671,.4149377593361203,23.17630493708251,2.967267166374427,2783872.415033715,2057633.293,.896711663578643,2.17779633548616,16.1633930084706,20.8194279584099,64.6057208119192,61.01547000000001,6.909116442919181,99.25,1.12,31.9913871431271,4.142347612856301,-157916.7405294118,2014q2,11.346552,-.047883406,-.23910642,-.51428527,-.043270219,1.46,-1,11.346552,.0071306229,-.049455158,-.0021594465,.2331779,14.839354,.011785507,14.537067,-.030374527,.30315346,.0016437608,.059402909,-1.3312056,.32076487,-1.55708,.04548588,4.5976419,.011145115,-1.0017942,.29481223,14149.461,0,0
Q3 2014,17.8374179055938,16.2001716642375,16.27096244510567,7.44166731050655,75.89,31.9,88768,.945912698412698,2.345507122201984,5.8813351,2.565770571904835,-7.077465004594896,14.10456406062428,29.83133306978676,3.376113455278244,2793408.811986993,2093778.391,.805124512662007,2.07320671470487,15.3774683974056,20.4335734922218,65.134159194181,59.51672,7.019787255449551,100.97,1.73,31.8826540749301,3.18345114407852,-194016.7942584,2014q3,11.393782,-.00005885919,.17890339,-.54690039,-.041147914,.50999999,-.1,11.393782,-.046878815,-.055604998,-.0061498396,-.1532288,14.842773,.0034198761,14.554481,-.0015563965,-.091587149,-.10458962,-.78592461,-.38585445,.52843839,-.66238999,-.24938491,4.6148233,.017181396,-.10873307,-.95889646,-36100.055,0,0
Q4 2014,17.8768341985833,16.1613306456154,15.59168528468389,7.516754004608673,74.79000000000001,33.6,94562,.891596031746032,1.90364777198766,5.7281063,2.844823013635462,-24.85229668411609,-23.22928403036817,-4.800467223361182,2.743134703867327,2746324.05590621,2162544.946,.0612241683963851,2.00606673007628,14.8062950321512,22.3295829830872,66.49503591043511,60.7128,7.443007641669404,101.63,.65,33.5776883831029,.4698374261540739,-184085.971,2014q4,11.457011,.039416295,-.03884102,-.67927718,.07508669,-1.1,1.7,11.457011,.015999794,-.11474213,-.059137132,-.1532288,14.825774,-.016999245,14.586797,.014903069,-.74390036,-.067139983,-.57117337,1.8960094,1.3608767,2.6948299,.31254956,4.6213388,.0065155029,1.6950343,-2.7136137,9930.8232,0,0
Q1 2015,17.6511112844507,16.028146808065,17.38357388011948,7.489012104589779,74.90000000000001,30.2,95881,.8162,1.436265709156204,5.7281063,3.201243916003364,-29.56840365166641,5.347101388405551,-4.763313629280441,4.077705170144625,2617470.04772465,2205923.212,.708240012784551,2.04357626304569,15.0482913142235,19.7429266300296,64.5119737995165,59.28644,7.36181181064373,99.17,-2.42,30.2404647460032,2.51316905143113,-155720.2106304,2015q1,11.470863,-.22572291,-.13318384,1.7918886,-.0277419,.11,-3.4000001,11.470863,-.049377441,-.20309585,-.088353723,0,14.777719,-.048055649,14.606657,-.01245594,.64701587,.037509535,.24199629,-2.5866563,-1.9830621,-2.6224401,-.50441623,4.5968356,-.024503231,-3.3372235,2.0433316,28365.76,0,0
Q2 2015,17.7914336961865,15.8532308013818,16.81517583632307,7.427219843716673,75.76000000000001,28.8,98448,.773933333333333,1.197101753649066,5.7281063,5.681329572308243,14.63633996044917,3.508416212072363,2.774084644957697,1.572302678628873,2533151.55753981,2234992.4,.875346346763898,2.08340361558576,15.3868843102817,18.8088061322316,64.49660838974479,58.98693,7.316314755937521,98.06,-1.12,28.8433063027773,3.31578342691996,-181477.079098,2015q2,11.497284,.14032242,-.17491601,-.56839806,-.061792262,.86000001,-1.4,11.497284,.012568474,-.25626954,-.053173691,0,14.744975,-.032743454,14.619748,-.0067691803,.16710633,.039827354,.33859301,-.93412048,-.01536541,1.12685,.035698775,4.5855794,-.011256218,-1.3971584,.80261439,-25756.869,0,0
Q3 2015,17.7698470011237,15.7617055349681,16.35997473731417,7.367557598046789,76.27,29.6,100546,.828233333333333,1.161573880284639,5.6597186,5.051550327140546,-18.42691577059944,-18.51843700099813,-4.829916944817203,1.05549985568247,2454529.79491421,2245941.789,.926668510313009,2.0141617472281,14.859019827306,19.4371898920116,66.2773942463393,58.60349,7.42446096658541,96.39,-1.7,29.5711519188846,.6434122428760514,-177180.4933015,2015q3,11.518371,-.021586696,-.091525264,-.45520109,-.059662245,.50999999,.80000001,11.518371,-.0053339005,-.18846036,.067809179,-.068387702,14.713446,-.031529427,14.624636,-.0082035065,.051322162,-.069241866,-.52786446,.62838376,1.7807858,-.083930001,.15364327,4.5684023,-.017177105,.72784561,-2.6723711,4296.5859,0,0
Q4 2015,18.0780444131251,16.1839683688082,16.72250124282332,7.138686539214016,80.02,27.3,102503,1.1004,1.23147568357338,5.5913308,4.846829600008547,-13.4329576317909,-6.650063342940571,-39.30025019342879,-4.00765686460413,2311567.45279783,2233254.347,.99407581551285,1.95685322722019,14.3781420599973,17.5053000871892,67.1174155959707,55.31673,7.40169539139054,95.79000000000001,-.63,27.2863854732987,2.259931751890853,-170042.4322616,2015q4,11.537647,.30819741,.42226285,.36252651,-.22887106,3.75,-2.3,11.537647,-.0018100739,.095673747,.28413412,-.068387799,14.653437,-.060009003,14.618971,-.010552406,.067407303,-.057308521,-.48087776,-1.9318898,.84002137,-2.9033201,-.13091178,4.5621581,-.0062441826,-2.2847664,1.6165195,7138.061,0,0
Q1 2016,17.9957880763854,16.1828527094027,19.11935398562717,6.999774872464547,82.39,26,106292,1.71576206349206,2.592399791775124,5.618226,3.198239358610962,-21.90712347216697,-9.963164230239475,-40.67019152751244,-.8884423893599376,2201565.51636339,2248447.571943845,1.01663599825673,2.09390642244819,15.004698647543,17.0749374329476,66.4846134361393,56.37876000000001,7.433353914147707,94.84,-.99,26.0095567652534,3.254835715311533,-139571.45258452,2016q1,11.573945,-.082256339,-.0011156594,2.3968527,-.13891166,2.3699999,-1.3,11.573945,.017021179,.53985733,.44418359,.026895201,14.604679,-.048757553,14.625751,.012444496,.022560183,.13705319,.62655658,-.43036264,-.63280219,4.3487902,.0544241,4.5521913,-.0099668503,-1.2768288,.99490398,30470.98,0,0
Q2 2016,18.3187689635075,16.3971873430811,18.92874909781065,6.99802481962199,84.45999999999999,29.1,108418,2.07285977777778,2.262114766006018,5.6451211,1.385223718464573,33.71225902827742,4.44711905423798,-26.0341056022286,1.357241657766849,2138630.57895841,2282948.50564535,.999978508401699,2.06984136445007,14.7099330099269,18.3711520565093,67.73575853342319,57.96142,7.466419958721697,92.94,-2,29.0718042438259,1.548429149197794,-133758.39189678,2016q2,11.593749,.32298088,.21433464,-.19060488,-.0017500528,2.0699999,3.0999999,11.593749,-.016493797,.72892916,.18907183,.0268951,14.575676,-.029003143,14.640979,.0084486008,-.01665749,-.024065059,-.29476565,1.2962146,1.2511451,.52063,.0014075218,4.5319543,-.020236969,3.0622475,-1.7064066,5813.0605,0,0
